"sourcekey" "targetkey" "lei_xing" "pk"
"DUI_XIANG:13102419221105216X" "DUI_XIANG:652300189402032963" "合作关系" "94"
"DUI_XIANG:131024193004181561" "DUI_XIANG:652300188510018574" "好友" "95"
"DUI_XIANG:13102419320222549X" "DUI_XIANG:632821194308238051" "同学" "96"
"DUI_XIANG:131024193301164936" "DUI_XIANG:632821193404239105" "亲属" "97"
"DUI_XIANG:131081188109224776" "DUI_XIANG:632821192301011525" "亲属" "98"
"DUI_XIANG:131081188209177524" "DUI_XIANG:632821192103242664" "好友" "99"
"DUI_XIANG:131081189101224469" "DUI_XIANG:632821191111221308" "同事" "100"
"DUI_XIANG:131081189212107433" "DUI_XIANG:632821191012025010" "好友" "101"
"DUI_XIANG:131081191603238943" "DUI_XIANG:632821190901197475" "好友" "102"
"DUI_XIANG:131081193202225841" "DUI_XIANG:632821189303172106" "好友" "103"
"DUI_XIANG:13108119410630603X" "DUI_XIANG:63282118890626796X" "好友" "104"
"DUI_XIANG:131081194911101133" "DUI_XIANG:632523194407193748" "好友" "105"
"DUI_XIANG:140106192011108433" "DUI_XIANG:632523193812154027" "好友" "106"
"DUI_XIANG:140106192309186450" "DUI_XIANG:632523193801188125" "同乡" "107"
"DUI_XIANG:140106192606148450" "DUI_XIANG:632523193007265947" "好友" "108"
"DUI_XIANG:140106193102261681" "DUI_XIANG:632523191508248388" "同校" "109"
"DUI_XIANG:140106193610102847" "DUI_XIANG:632523191112036207" "好友" "110"
"DUI_XIANG:140222189101199322" "DUI_XIANG:632523191111276698" "好友" "111"
"DUI_XIANG:140222189410159957" "DUI_XIANG:632523190604133578" "好友" "112"
"DUI_XIANG:14022218970720435X" "DUI_XIANG:632523189601236733" "好友" "113"
"DUI_XIANG:140222190711147640" "DUI_XIANG:632523188510018883" "好友" "114"
"DUI_XIANG:140222193511232553" "DUI_XIANG:632523188002212962" "好友" "115"
"DUI_XIANG:140222193808204123" "DUI_XIANG:632126193206151253" "同乡" "116"
"DUI_XIANG:140222194304014048" "DUI_XIANG:632126192710282215" "好友" "117"
"DUI_XIANG:140222194304035893" "DUI_XIANG:632126192611087385" "合作关系" "118"
"DUI_XIANG:14022219440326507X" "DUI_XIANG:63212619210324281X" "同乡" "119"
"DUI_XIANG:140222194601044403" "DUI_XIANG:632126191904128772" "好友" "120"
"DUI_XIANG:140222194911099071" "DUI_XIANG:632126190703133124" "好友" "121"
"DUI_XIANG:140226189001279793" "DUI_XIANG:623026194904096800" "好友" "122"
"DUI_XIANG:140226189212072741" "DUI_XIANG:623026194705236241" "好友" "123"
"DUI_XIANG:140226189311267210" "DUI_XIANG:62302619421015130X" "好友" "124"
"DUI_XIANG:140226190612252264" "DUI_XIANG:623026194011292046" "好友" "125"
"DUI_XIANG:140226191207281015" "DUI_XIANG:623026194011267828" "好友" "126"
"DUI_XIANG:140226191504253686" "DUI_XIANG:623026192004047879" "合作关系" "127"
"DUI_XIANG:140226191504276116" "DUI_XIANG:623026191806268986" "好友" "128"
"DUI_XIANG:14022619230910601X" "DUI_XIANG:623026190207264823" "好友" "129"
"DUI_XIANG:140226193301116920" "DUI_XIANG:623026189501317115" "同校" "130"
"DUI_XIANG:140226193411288141" "DUI_XIANG:623026189303217252" "同校" "131"
"DUI_XIANG:140226194006305037" "DUI_XIANG:623026188312012350" "亲属" "132"
"DUI_XIANG:140226194601318393" "DUI_XIANG:623026188002224489" "好友" "133"
"DUI_XIANG:140226194712273298" "DUI_XIANG:621226194012061863" "好友" "134"
"DUI_XIANG:140227188604249886" "DUI_XIANG:621226193602076585" "好友" "135"
"DUI_XIANG:140227189508307657" "DUI_XIANG:621226192611111886" "同学" "136"
"DUI_XIANG:140227189806039945" "DUI_XIANG:621226192302127286" "好友" "137"
"DUI_XIANG:140227189905246683" "DUI_XIANG:621226192104048069" "好友" "138"
"DUI_XIANG:140227190710099781" "DUI_XIANG:621226191001164193" "同学" "139"
"DUI_XIANG:140227190909203208" "DUI_XIANG:621226190902261017" "同乡" "140"
"DUI_XIANG:140227193201197408" "DUI_XIANG:621226188709236570" "同校" "141"
"DUI_XIANG:140227193808178086" "DUI_XIANG:621226188201081627" "合作关系" "142"
"DUI_XIANG:140227194105198253" "DUI_XIANG:621201194507169182" "好友" "143"
"DUI_XIANG:140227194501078069" "DUI_XIANG:621201194111281127" "好友" "144"
"DUI_XIANG:140227194811111362" "DUI_XIANG:621201194011026030" "同伙" "145"
"DUI_XIANG:140524188406137856" "DUI_XIANG:621201193107291328" "同校" "146"
"DUI_XIANG:14052418850504441X" "DUI_XIANG:621201192909199510" "好友" "147"
"DUI_XIANG:140524188902296071" "DUI_XIANG:621201192809246690" "好友" "148"
"DUI_XIANG:140524189211026093" "DUI_XIANG:621201191112072366" "亲属" "149"
"DUI_XIANG:140524189905282147" "DUI_XIANG:62120118910517496X" "同伙" "150"
"DUI_XIANG:140524190103025614" "DUI_XIANG:621201189006292557" "好友" "151"
"DUI_XIANG:14052419071007715X" "DUI_XIANG:621124194607168725" "同乡" "152"
"DUI_XIANG:140524191801236704" "DUI_XIANG:621124194606099115" "好友" "153"
"DUI_XIANG:140524193312058045" "DUI_XIANG:621124194409035147" "好友" "154"
"DUI_XIANG:14052419400629444X" "DUI_XIANG:621124194408023670" "好友" "155"
"DUI_XIANG:140524194105164165" "DUI_XIANG:621124193603145652" "合作关系" "156"
"DUI_XIANG:140524194910271166" "DUI_XIANG:621124193008084875" "同乡" "157"
"DUI_XIANG:140600188207299638" "DUI_XIANG:621124192909199667" "好友" "158"
"DUI_XIANG:140600188306184924" "DUI_XIANG:621124192611179735" "好友" "159"
"DUI_XIANG:140600188703156257" "DUI_XIANG:621124192104061871" "好友" "160"
"DUI_XIANG:140600188901223887" "DUI_XIANG:621124192103013640" "同事" "161"
"DUI_XIANG:140600189608251189" "DUI_XIANG:621124191905222888" "亲属" "162"
"DUI_XIANG:140600190004084613" "DUI_XIANG:621124191806306090" "合作关系" "163"
"DUI_XIANG:140600190004085392" "DUI_XIANG:621124191509056339" "好友" "164"
"DUI_XIANG:140600191007051352" "DUI_XIANG:621124188907096267" "好友" "165"
"DUI_XIANG:140600192011062681" "DUI_XIANG:621124188709248581" "好友" "166"
"DUI_XIANG:140600192110255374" "DUI_XIANG:621124188312012407" "好友" "167"
"DUI_XIANG:140600194005198418" "DUI_XIANG:621124188102257107" "同校" "168"
"DUI_XIANG:140828188009142864" "DUI_XIANG:620901194507171693" "好友" "169"
"DUI_XIANG:140828188802042287" "DUI_XIANG:620901194309138489" "好友" "170"
"DUI_XIANG:140828188802274280" "DUI_XIANG:620901194012095887" "好友" "171"
"DUI_XIANG:140828189012131319" "DUI_XIANG:620901193901235099" "好友" "172"
"DUI_XIANG:140828189508227007" "DUI_XIANG:620901193305114821" "同校" "173"
"DUI_XIANG:140828189805257667" "DUI_XIANG:620901193206232902" "好友" "174"
"DUI_XIANG:140828191106233829" "DUI_XIANG:620901192909269483" "同校" "175"
"DUI_XIANG:140922188307217606" "DUI_XIANG:620901191608237459" "好友" "176"
"DUI_XIANG:140922188405081079" "DUI_XIANG:620901191509081049" "好友" "177"
"DUI_XIANG:140922189012094981" "DUI_XIANG:62090119111210621X" "好友" "178"
"DUI_XIANG:140922189012117434" "DUI_XIANG:620901190506115149" "好友" "179"
"DUI_XIANG:140922189210195601" "DUI_XIANG:620901190407205819" "好友" "180"
"DUI_XIANG:140922190003036884" "DUI_XIANG:620901190010016307" "好友" "181"
"DUI_XIANG:140922190202141791" "DUI_XIANG:620901189911052913" "同乡" "182"
"DUI_XIANG:140922190809191664" "DUI_XIANG:620901189502114634" "同学" "183"
"DUI_XIANG:140922191206186326" "DUI_XIANG:620901188511194731" "好友" "184"
"DUI_XIANG:140922191503194293" "DUI_XIANG:620901188412286139" "好友" "185"
"DUI_XIANG:140922192308274858" "DUI_XIANG:62052419480526134X" "好友" "186"
"DUI_XIANG:140922192506077599" "DUI_XIANG:620524194508309239" "好友" "187"
"DUI_XIANG:140922192705236687" "DUI_XIANG:620524194508285994" "好友" "188"
"DUI_XIANG:140922192804122802" "DUI_XIANG:620524193306141066" "好友" "189"
"DUI_XIANG:140922192903015447" "DUI_XIANG:620524193207255412" "好友" "190"
"DUI_XIANG:140922194104047599" "DUI_XIANG:620524193009177433" "好友" "191"
"DUI_XIANG:140922194104059223" "DUI_XIANG:620524190110222282" "亲属" "192"
"DUI_XIANG:140922194303228851" "DUI_XIANG:620524189712237205" "同伙" "193"
"DUI_XIANG:140922194711109712" "DUI_XIANG:620524189503183490" "好友" "194"
"DUI_XIANG:140922194909201979" "DUI_XIANG:620524189404287702" "同学" "195"
"DUI_XIANG:140922194910279060" "DUI_XIANG:620524189403264103" "好友" "196"
"DUI_XIANG:140981188604181988" "DUI_XIANG:62052418940324150X" "好友" "197"
"DUI_XIANG:140981189111278452" "DUI_XIANG:62052418910625657X" "好友" "198"
"DUI_XIANG:140981189706306395" "DUI_XIANG:620524188908178003" "好友" "199"
"DUI_XIANG:140981190003313140" "DUI_XIANG:620524188610088785" "好友" "200"
"DUI_XIANG:140981190301103547" "DUI_XIANG:610926194001199483" "好友" "201"
"DUI_XIANG:140981190610087747" "DUI_XIANG:610926193009202208" "同校" "202"
"DUI_XIANG:140981191701272221" "DUI_XIANG:610926191807156251" "同事" "203"
"DUI_XIANG:140981192010277626" "DUI_XIANG:610926191807097992" "同校" "204"
"DUI_XIANG:140981192109128495" "DUI_XIANG:610926190903111147" "好友" "205"
"DUI_XIANG:140981192109164066" "DUI_XIANG:610926190407207027" "亲属" "206"
"DUI_XIANG:140981192605019140" "DUI_XIANG:61092619001028178X" "好友" "207"
"DUI_XIANG:140981193002201546" "DUI_XIANG:610926188512263829" "好友" "208"
"DUI_XIANG:140981194402068099" "DUI_XIANG:610926188202235638" "好友" "209"
"DUI_XIANG:141129188207242574" "DUI_XIANG:610926188004107926" "好友" "210"
"DUI_XIANG:141129188901165556" "DUI_XIANG:610901194805271914" "亲属" "211"
"DUI_XIANG:141129189210184322" "DUI_XIANG:610901191510162143" "合作关系" "212"
"DUI_XIANG:141129190709225144" "DUI_XIANG:610901191510161642" "好友" "213"
"DUI_XIANG:14112919250609944X" "DUI_XIANG:61090119131206151X" "好友" "214"
"DUI_XIANG:141129192803108461" "DUI_XIANG:610901191312047638" "好友" "215"
"DUI_XIANG:14112919390623537X" "DUI_XIANG:610901191212128238" "好友" "216"
"DUI_XIANG:141129193906279444" "DUI_XIANG:610901191101234150" "好友" "217"
"DUI_XIANG:141129194909187662" "DUI_XIANG:610901191002259096" "好友" "218"
"DUI_XIANG:141130188801235049" "DUI_XIANG:610901190506173048" "好友" "219"
"DUI_XIANG:141130189904072953" "DUI_XIANG:610901188412034781" "好友" "220"
"DUI_XIANG:141130190202126951" "DUI_XIANG:610901188103314181" "好友" "221"
"DUI_XIANG:14113019110514911X" "DUI_XIANG:610901188103049090" "同乡" "222"
"DUI_XIANG:141130191601246891" "DUI_XIANG:61070219390201876X" "好友" "223"
"DUI_XIANG:141130192605261380" "DUI_XIANG:610702193901272205" "好友" "224"
"DUI_XIANG:141130193410066221" "DUI_XIANG:610702192402211710" "好友" "225"
"DUI_XIANG:141130193410091654" "DUI_XIANG:610702191906028931" "好友" "226"
"DUI_XIANG:141130194004082941" "DUI_XIANG:610702191212095136" "亲属" "227"
"DUI_XIANG:141130194711039192" "DUI_XIANG:610702191201153716" "好友" "228"
"DUI_XIANG:141130194810304094" "DUI_XIANG:610702191101245330" "同乡" "229"
"DUI_XIANG:150426189011291430" "DUI_XIANG:610702190804181527" "好友" "230"
"DUI_XIANG:150426189706269862" "DUI_XIANG:610702188809307392" "同校" "231"
"DUI_XIANG:150426191502032129" "DUI_XIANG:610702188401082337" "好友" "232"
"DUI_XIANG:150426192506065459" "DUI_XIANG:610528194707194423" "好友" "233"
"DUI_XIANG:150426193112034961" "DUI_XIANG:610528193604286574" "好友" "234"
"DUI_XIANG:150426193608166386" "DUI_XIANG:610528193505092934" "好友" "235"
"DUI_XIANG:150426193707074663" "DUI_XIANG:61052819310918866X" "好友" "236"
"DUI_XIANG:150426193708133055" "DUI_XIANG:61052819240219911X" "同学" "237"
"DUI_XIANG:150426194302089650" "DUI_XIANG:610528191510195699" "同校" "238"
"DUI_XIANG:150426194711038686" "DUI_XIANG:610528189206271279" "好友" "239"
"DUI_XIANG:150426194810281534" "DUI_XIANG:610528189008167366" "好友" "240"
"DUI_XIANG:150525188305021465" "DUI_XIANG:61052818900712193X" "同伙" "241"
"DUI_XIANG:150525189011302717" "DUI_XIANG:610528188611217319" "同伙" "242"
"DUI_XIANG:150525190312262892" "DUI_XIANG:610528188512286503" "好友" "243"
"DUI_XIANG:150525190411123556" "DUI_XIANG:610429193208107811" "好友" "244"
"DUI_XIANG:150525190610293857" "DUI_XIANG:610429193208107301" "好友" "245"
"DUI_XIANG:150525191006233254" "DUI_XIANG:610429193207059715" "好友" "246"
"DUI_XIANG:150525191204022634" "DUI_XIANG:610429192006017522" "合作关系" "247"
"DUI_XIANG:150525193001163188" "DUI_XIANG:610429191907101153" "同校" "248"
"DUI_XIANG:150525193112046718" "DUI_XIANG:610429190904179970" "同学" "249"
"DUI_XIANG:150525193112309530" "DUI_XIANG:610429190903122825" "好友" "250"
"DUI_XIANG:150525193410054548" "DUI_XIANG:610429190407309770" "好友" "251"
"DUI_XIANG:150525194810257234" "DUI_XIANG:610429189306212111" "亲属" "252"
"DUI_XIANG:150727188603052490" "DUI_XIANG:61030119400128360X" "好友" "253"
"DUI_XIANG:150727189903025317" "DUI_XIANG:610301193109236253" "好友" "254"
"DUI_XIANG:150727190201056280" "DUI_XIANG:610301192712252421" "亲属" "255"
"DUI_XIANG:150727191205023114" "DUI_XIANG:610301192601067450" "同伙" "256"
"DUI_XIANG:150727191502017984" "DUI_XIANG:610301191610148055" "好友" "257"
"DUI_XIANG:15072719250524786X" "DUI_XIANG:610301191511254856" "亲属" "258"
"DUI_XIANG:150727192505258577" "DUI_XIANG:610301191102028583" "好友" "259"
"DUI_XIANG:152525189011288638" "DUI_XIANG:61030119040804766X" "好友" "260"
"DUI_XIANG:15252519041114624X" "DUI_XIANG:610301189603231026" "好友" "261"
"DUI_XIANG:152525190510293552" "DUI_XIANG:610301188104166691" "好友" "262"
"DUI_XIANG:152525190807313497" "DUI_XIANG:542626194509079957" "好友" "263"
"DUI_XIANG:15252519080807319X" "DUI_XIANG:542626194409163991" "好友" "264"
"DUI_XIANG:152525192604167038" "DUI_XIANG:542626192205212879" "好友" "265"
"DUI_XIANG:15252519300110506X" "DUI_XIANG:542626191808296253" "好友" "266"
"DUI_XIANG:152525193211194507" "DUI_XIANG:54262619131210684X" "好友" "267"
"DUI_XIANG:152525194004072069" "DUI_XIANG:542626191102053858" "同校" "268"
"DUI_XIANG:210201188602273086" "DUI_XIANG:542626190507242556" "好友" "269"
"DUI_XIANG:210201188911278016" "DUI_XIANG:542626189802081507" "同学" "270"
"DUI_XIANG:210201188911302602" "DUI_XIANG:54262618970214956X" "好友" "271"
"DUI_XIANG:210201189110113953" "DUI_XIANG:542525194807193801" "好友" "272"
"DUI_XIANG:210201190808059790" "DUI_XIANG:542525192304154684" "同校" "273"
"DUI_XIANG:21020119100615183X" "DUI_XIANG:542525192205246655" "好友" "274"
"DUI_XIANG:210201191204275665" "DUI_XIANG:542525191201224083" "好友" "275"
"DUI_XIANG:210201192307157535" "DUI_XIANG:542525190607231385" "好友" "276"
"DUI_XIANG:210300188503075083" "DUI_XIANG:54252519050730150X" "好友" "277"
"DUI_XIANG:210300189407086908" "DUI_XIANG:542525188711161847" "同事" "278"
"DUI_XIANG:21030019090621938X" "DUI_XIANG:542525188401185974" "同乡" "279"
"DUI_XIANG:210300191711048394" "DUI_XIANG:542525188203041232" "好友" "280"
"DUI_XIANG:210300192009069165" "DUI_XIANG:542424192007157510" "好友" "281"
"DUI_XIANG:210300192306066139" "DUI_XIANG:542424192007145827" "好友" "282"
"DUI_XIANG:210300192703048938" "DUI_XIANG:542424191908226961" "好友" "283"
"DUI_XIANG:210300192802154293" "DUI_XIANG:542424191412072604" "好友" "284"
"DUI_XIANG:210300193409261601" "DUI_XIANG:542424190904263912" "同事" "285"
"DUI_XIANG:210300193904069676" "DUI_XIANG:542424190706148737" "好友" "286"
"DUI_XIANG:21030019430126192X" "DUI_XIANG:542424189802092229" "同事" "287"
"DUI_XIANG:210801188304192352" "DUI_XIANG:542424189802081749" "好友" "288"
"DUI_XIANG:21080118850201598X" "DUI_XIANG:54242418980106666X" "同学" "289"
"DUI_XIANG:210801188503097753" "DUI_XIANG:542424189405141883" "同学" "290"
"DUI_XIANG:210801189307157039" "DUI_XIANG:542424189306235614" "好友" "291"
"DUI_XIANG:210801189308214947" "DUI_XIANG:54242418861201329X" "好友" "292"
"DUI_XIANG:210801189704106657" "DUI_XIANG:542421194906089101" "同事" "293"
"DUI_XIANG:210801192008319971" "DUI_XIANG:542421194101236151" "好友" "294"
"DUI_XIANG:210801192207157231" "DUI_XIANG:542421193902114299" "好友" "295"
"DUI_XIANG:210801193508108112" "DUI_XIANG:542421193506233448" "好友" "296"
"DUI_XIANG:211101188403074872" "DUI_XIANG:542421192503313384" "好友" "297"
"DUI_XIANG:211101188812014002" "DUI_XIANG:542421191908215796" "好友" "298"
"DUI_XIANG:21110119041001693X" "DUI_XIANG:542421191004227436" "好友" "299"
"DUI_XIANG:211101191203146023" "DUI_XIANG:542421190309234958" "合作关系" "300"
"DUI_XIANG:211101191612072758" "DUI_XIANG:542421190012273622" "同学" "301"
"DUI_XIANG:211101192306088000" "DUI_XIANG:542421189801078637" "同校" "302"
"DUI_XIANG:211101192603051546" "DUI_XIANG:542421189405198629" "好友" "303"
"DUI_XIANG:211101193011228330" "DUI_XIANG:542421189207133197" "好友" "304"
"DUI_XIANG:211101193111172231" "DUI_XIANG:54233119490716967X" "好友" "305"
"DUI_XIANG:21110119370622263X" "DUI_XIANG:542331194609071666" "同乡" "306"
"DUI_XIANG:211101194103169969" "DUI_XIANG:542331194002065921" "好友" "307"
"DUI_XIANG:211101194301284175" "DUI_XIANG:542331193209273416" "好友" "308"
"DUI_XIANG:211101194709198852" "DUI_XIANG:542331193209214811" "好友" "309"
"DUI_XIANG:211101194809094495" "DUI_XIANG:54233119260222363X" "好友" "310"
"DUI_XIANG:220103188105032643" "DUI_XIANG:542331192503277448" "好友" "311"
"DUI_XIANG:220103188205021482" "DUI_XIANG:542331192503049226" "好友" "312"
"DUI_XIANG:220103188403109303" "DUI_XIANG:542331191301246243" "好友" "313"
"DUI_XIANG:220103189704084693" "DUI_XIANG:542331190806103788" "好友" "314"
"DUI_XIANG:220103190806208130" "DUI_XIANG:542331188204145611" "合作关系" "315"
"DUI_XIANG:22010319090509284X" "DUI_XIANG:542331188104215432" "好友" "316"
"DUI_XIANG:220103191004298415" "DUI_XIANG:54232219490719510X" "同学" "317"
"DUI_XIANG:220103191203179208" "DUI_XIANG:542322194609141760" "好友" "318"
"DUI_XIANG:220103191512118855" "DUI_XIANG:542322194312154843" "好友" "319"
"DUI_XIANG:220103192107194007" "DUI_XIANG:542322194212191225" "好友" "320"
"DUI_XIANG:220103192306017505" "DUI_XIANG:542322193507015363" "好友" "321"
"DUI_XIANG:22010319260330253X" "DUI_XIANG:542322193506233748" "好友" "322"
"DUI_XIANG:220103192702211844" "DUI_XIANG:542322193407051789" "合作关系" "323"
"DUI_XIANG:220103193408132592" "DUI_XIANG:542322191611292185" "好友" "324"
"DUI_XIANG:220103194201295161" "DUI_XIANG:542322191401187731" "好友" "325"
"DUI_XIANG:220103194709187639" "DUI_XIANG:542322191301223328" "好友" "326"
"DUI_XIANG:220182188106078497" "DUI_XIANG:542322190707231278" "好友" "327"
"DUI_XIANG:220182188601209001" "DUI_XIANG:542322190310028538" "好友" "328"
"DUI_XIANG:220182188712069355" "DUI_XIANG:54232218920817803X" "好友" "329"
"DUI_XIANG:220182190608061727" "DUI_XIANG:542322188601117095" "同事" "330"
